,tweet_id,created_at,user_id,geo_source,county,full_text,mask,sentiment_score
0,1238177970289852418,Thu Mar 12 19:00:07 +0000 2020,55041017,user_location,Hennepin County,"And now, NASCAR:  ""At this time, NASCAR will hold its race events at Atlanta Motor Speedway and Homestead-Miami Speedway without fans in attendance"".  #coronavirus",False,0.0
1,1238181036502200325,Thu Mar 12 19:12:18 +0000 2020,62458261,user_location,Scott County,NOW WHAT THE FUCK IS THIS SHIT https://t.co/dkDWysq93Y,False,-0.7964
2,1238180219871285253,Thu Mar 12 19:09:03 +0000 2020,841062940736401408,user_location,Winona County,"MN DFL Party's @kenmartin73 says he'll propose ""drastic measures"" tonight to an emergency executive committee meeting (by phone) regarding upcoming DFL gatherings, including district endorsing conventions. He wouldn't disclose his recommendations beforehand. #covid19 #coronavirus",False,-0.3818
3,1238178966164340736,Thu Mar 12 19:04:04 +0000 2020,248425034,user_location,Hennepin County,Senate Republicans blocked a paid sick leave and free #coronavirus testing bill but approved $1.5 trillion for Wall Street.  Fuck the @GOP &amp; @realDonaldTrump,False,-0.4588
4,1238180238485598210,Thu Mar 12 19:09:07 +0000 2020,19727422,user_location,Hennepin County,Find local blood donation appts at https://t.co/qDpRVWq0Oz https://t.co/gRP6uujMzy,False,0.0
6,1238195515298283526,Thu Mar 12 20:09:50 +0000 2020,27730480,user_location,Hennepin County,"Schools are advised to stay open for now, while health officials say we are ""moving into a phase where people's personal lives will likely be impacted."" #COVID19 https://t.co/knupQvsZMl",False,0.0
7,1238189417203892226,Thu Mar 12 19:45:36 +0000 2020,467895570,user_location,Hennepin County,"Highly recommend this episode of The Daily featuring @mcneil_donald to understand the incredible measures China has taken to bring #coronavirus under control ... and, by contrast, what we're not doing. https://t.co/lCf89OvHRp",False,0.4201
8,1238192591704862726,Thu Mar 12 19:58:13 +0000 2020,87661878,user_location,Hennepin County,Please share this https://t.co/Yergor7vzQ,False,0.5423
9,1238194703272722438,Thu Mar 12 20:06:36 +0000 2020,359985958,user_location,Koochiching County,The Coronavirus is a global crisis and requires cooperation. The EU disapproves of the fact that the U.S. decision to impose a travel ban was taken unilaterally and without consultation. The EU is taking strong action to limit the spread of #COVID19.  Read full joint statement ↓,False,-0.765
10,1238193855754797057,Thu Mar 12 20:03:14 +0000 2020,199949591,user_location,Dakota County,Basically right lol #Covid19 #coronavirus https://t.co/tiDWxlVTWI,False,0.4215
11,1238187193837006849,Thu Mar 12 19:36:46 +0000 2020,29879756,user_location,Hennepin County,"🇨🇦 Thank you for this intelligent, proactive policy decision; when testing individuals for influenza, they will also be tested for #COVID19.  As a result, public health officials have found additonal cases and appropriate action is being taken.  #OnceVoice1 #Canada #cdnpoli https://t.co/lcR34ncu1A",False,0.8074
12,1238197731430223874,Thu Mar 12 20:18:38 +0000 2020,15976540,user_location,Hennepin County,The @nytimes has relaxed its paywall to ensure people get access to the most critical information about the #COVID19 outbreak. The reporting that is available for free can be found on https://t.co/4VK9TunALb.,False,0.7783
13,1238195789584875525,Thu Mar 12 20:10:55 +0000 2020,8918332,user_location,Hennepin County,"Somehow, I see a Wall Street bailout coming while hourly workers and ordinary low income workers get shit on.  #coronavirus #TrumpEra",False,-0.7269
14,1238196247917445120,Thu Mar 12 20:12:44 +0000 2020,19565827,user_location,Hennepin County,Have Khabib and Tony fight in a fucking hermetically sealed Octagon. PLZ don’t do this to me I have nothing left PLZ https://t.co/wgGkipwz1v,False,-0.3251
16,1238196912479768578,Thu Mar 12 20:15:23 +0000 2020,756258054,user_location,Scott County,The official #COVID19 map created by @JHUSystems does not require viewers download or enter personal information for use. Please be aware of cybersecurity threats that may attempt to capitalize on the #coronavirus outbreak.  🗺: https://t.co/PPg5qi1BYz 🖥: https://t.co/fUNxKk7tl9 https://t.co/RUwMJuRg1U,False,0.128
