,tweet_id,created_at,user_id,geo_source,county,full_text,mask,sentiment_score
0,1238270633965912064,Fri Mar 13 01:08:19 +0000 2020,907139600,user_location,Hennepin County,While Trump gives inaccurate info &amp; creates more confusion ⁦@SpeakerPelosi⁩ is working hard to pass a bill to help the American people during the #CoronavirusPandemic It’s reassuring to know we still have a leader who takes action! #TeamPelosi  https://t.co/MSreD1qwuF,False,0.636
1,1238271309123063808,Fri Mar 13 01:11:00 +0000 2020,902288874168229888,user_location,Washington County,"We've been told over and over that Medicare for All is ""too radical.""  I think it's radical to have a health care system that leaves 87 million people uninsured or underinsured.  I think it's radical that people can't afford to see a doctor during a pandemic.",False,0.4939
2,1238274873870430210,Fri Mar 13 01:25:10 +0000 2020,907139600,user_location,Hennepin County,"This is the worry, concern people are feeling—  If this crisis was being handled by someone who cared, listened to experts and did the right thing for the right reasons, it would make it easier to deal with. https://t.co/VYBJvmU6dU",False,-0.34
3,1238272978623881216,Fri Mar 13 01:17:38 +0000 2020,133851683,user_location,Hennepin County,"COVID-19 news: daunting. Yet, life goes on, conveyor belt does not stop. No pause button. Rx, 1. Limit media. Or be consumed.  2. Prioritize energy for 3 critical “must do’s.” 3. By EOD will have done X. 4. Guard time for passions: art, piano.  https://t.co/rEVa9YH4Hf @BStulberg https://t.co/RxSHj0Mgum",False,-0.1027
4,1238273649242542080,Fri Mar 13 01:20:18 +0000 2020,14845303,user_location,Hennepin County,I need someone to explain to me why we can immediately approve $1.5 trillion for Wall Street but not for free coronavirus testing and paid sick leave.  Explain it to me like I’m in kindergarten.,False,0.3182
5,1238319514414133248,Fri Mar 13 04:22:33 +0000 2020,348775203,user_location,Hennepin County,@realDonaldTrump NPR Source Says Trump Blocked Coronavirus Testing in January to Aid His Reelection Chances By Keeping US Infection Figures Low,False,-0.34
7,1238297204634398721,Fri Mar 13 02:53:54 +0000 2020,16243290,place,Hennepin County,@realDonaldTrump Even you can’t actually tweet this and believe it. What response? Stop worrying so much about trying to cover your ass and actually do something to help the American people with this pandemic. #Inept and  #pathetic.,False,-0.8442
8,1238314032144297984,Fri Mar 13 04:00:46 +0000 2020,755604158,user_location,Hennepin County,@SallyAlbright Can't we all just chill out and have an apolitical pandemic without questioning why we're completely unprepared for it?,False,0.0762
9,1238337499203686401,Fri Mar 13 05:34:01 +0000 2020,3021749090,user_location,Itasca County,"QUARANTINE DIARY  Day 1: I have stocked up on enough non-perishable food and supplies to last me for months, maybe years, so that I can remain in isolation for as long as it takes to see out this pandemic  Day 1 + 45 minutes: I am in the supermarket because I wanted a Twix",False,-0.4019
10,1238338359291936768,Fri Mar 13 05:37:26 +0000 2020,27935294,user_location,Hennepin County,"If it’s okay to withhold aid from Ukraine to help yourself win re-election then it’s probably okay to withhold testing that could have minimized a deadly pandemic for the same reason, right? Agree House &amp; Senate GOP?",False,0.9034
11,1238308764018769920,Fri Mar 13 03:39:50 +0000 2020,337490766,user_location,Hennepin County,"Arrived at O’Hare, the worlds busiest airport today from Madrid, a hot bed of #CoronavirusPandemic and sailed right thru passport and customs. There is NO protocol. Not one question asked, no temperatures being taken. Pandemic? What pandemic?",False,-0.5095
12,1238311578333741058,Fri Mar 13 03:51:01 +0000 2020,133012809,user_location,Hennepin County,"when it comes time to go to the polls this november, please remember that the president fired our pandemic response team in 2018 to cut costs.",False,-0.5267
13,1238290674014998528,Fri Mar 13 02:27:57 +0000 2020,3272388632,user_location,Saint Louis County,i love getting an email every 3 hours that's like BED BATH AND BEYOND'S COVID-19 PREPAREDNESS,False,0.7717
14,1238473285983186944,Fri Mar 13 14:33:35 +0000 2020,345141523,user_location,Itasca County,This German biotech company has made kits with 4 million coronavirus tests since the outbreak began https://t.co/KQczW0srBr,False,0.0
16,1238357962219048960,Fri Mar 13 06:55:20 +0000 2020,21504766,user_location,Hennepin County,"Dear colleagues,  I am sorry I must inform you of the death of the President of the Order of Doctors of the Province of Varese (Lombardy) and Director of the Lombard Training School in General Medicine, Dr.Roberto Stella, a family doctor, died this morning due to the Coronavirus",False,-0.7351
17,1238306427887931392,Fri Mar 13 03:30:33 +0000 2020,841760220225392641,user_location,Hennepin County,"Update. The Cleveland Clinic has developed a COVID 19 test that gives results in 8 hours as opposed to the 2-3 days it takes for the other tests. They developed the test in NINE days, I repeat nine. Scientists worked 24/7 once the CDC gave them the okay on 3/2.",False,0.2263
18,1238509948151054336,Fri Mar 13 16:59:16 +0000 2020,1040336773,user_location,Washington County,Hockey has been cancelled for like six hours and Canada solved coronavirus https://t.co/P7qVT7PcD1,False,0.3818
19,1238259091103010816,Fri Mar 13 00:22:27 +0000 2020,1076125618205528066,user_location,Hennepin County,@2monthslaterr If the corona virus 🦠 was a person 😷,False,0.0
20,1238509889263190016,Fri Mar 13 16:59:02 +0000 2020,901822378241609728,user_location,Saint Louis County,"The World Health Organization has announced that dogs cannot contract Covid-19. Dogs previously held in quarantine can now be released. To be clear, WHO let the dogs out.",False,0.3818
21,1238458605981954048,Fri Mar 13 13:35:15 +0000 2020,2243169469,user_location,Itasca County,"thus,.....😂 stay safe guys!! Wash your hands (for at least 20 seconds). Be aware, be vigilant, and be mindful of those around you! Just let covid-19 run it’s course. lilipas yan. 🤍🙏🏻 https://t.co/bv3tY3ci5x",False,0.8114
22,1238457917701005314,Fri Mar 13 13:32:31 +0000 2020,2371115547,user_location,Blue Earth County,"I'm just throwing this out there as a 40 year old renter who supports a family of 4 on 1 income; if mortgages can be suspended during Coronavirus, but landlords continue to collect rent (thereby *making money* from this), I WILL RIOT.",False,-0.7125
23,1238258193282863109,Fri Mar 13 00:18:53 +0000 2020,210664458,user_location,Aitkin County,BREAKING: The IHSA has canceled the state basketball tournament.  https://t.co/6qAb4TKw7e,False,0.0
24,1238457749891174406,Fri Mar 13 13:31:51 +0000 2020,2169876334,user_location,Saint Louis County,The coronavirus canceling my plans https://t.co/CQkOIUAbpR,False,0.0
25,1238510396740268032,Fri Mar 13 17:01:03 +0000 2020,607636586,user_location,Hennepin County,If you are thinking this is a hoax or that it won't be that bad:  There are 344 ICU beds in the entire state of New Mexico.   290 of them are currently occupied with non-COVID-19 related health emergencies.   That is why we have to #flattenthecurve,False,-0.6808
26,1238459670936903680,Fri Mar 13 13:39:29 +0000 2020,57814942,user_location,Ramsey County,"INBOX: Ted Cruz will extend his self-quarantine until March 17 out of an abundance of caution.  “Unfortunately, last night I was informed I had a second interaction with an individual who yesterday tested positive for COVID-19.”",False,0.6486
