,tweet_id,created_at,user_id,geo_source,county,full_text,mask,sentiment_score
1,1238662117982601222,Sat Mar 14 03:03:56 +0000 2020,252653581,user_location,Hennepin County,"“We have it totally under control.""   “It’s one person coming in from China. We have it under control. It’s going to be just fine.”  Donald Trump, Jan. 22, 2020, on Coronavirus",False,0.0
3,1238750218964930560,Sat Mar 14 08:54:01 +0000 2020,2312509727,user_location,Saint Louis County,Haikyu Nationals postponed over coronavirus fears. Reports suggest Oikawa has been involved in transmitting Coronavirus to national players. https://t.co/WKP7lRTx5N,False,-0.5574
5,1238680371195072513,Sat Mar 14 04:16:28 +0000 2020,14123243,user_location,Hennepin County,"Now that we're starting to hear that, ""no runny nose with Covid-19,"" isn't necessarily true, I'm back to wondering whether I should have been tested. Not that anybody not in the hospital was getting tested in this state early this week.",False,0.4215
7,1238671420886061056,Sat Mar 14 03:40:54 +0000 2020,16165429,user_location,Hennepin County,"And on the other side, we get people running in the aisles of Costco just to get those king-sized packages of TP.  #ToiletPaperApocalypse #toiletpapercrisis #toiletpaperfight #CostcoPanicBuying #COVIDー19 #COVID",False,0.0
8,1238668732051972096,Sat Mar 14 03:30:13 +0000 2020,2936497345,user_location,Hennepin County,"i wish some of y'all would understand that these closures &amp; cancellations aren't because they think everyone is going to drop dead of covid-19, it's bc it's really important to slow down the spread of the virus bc hospitals will not be able to handle everyone getting sick at once",False,-0.7102
9,1238811695029641217,Sat Mar 14 12:58:18 +0000 2020,2276972323,user_location,Hennepin County,asia got the coronavirus on LOCK yet they the ones getting all the racism and hate while europe has it worse and europeans spreading it like y'all colonizer ancestors and ain't nobody joking bout them......,False,-0.8769
12,1238804656433889281,Sat Mar 14 12:30:20 +0000 2020,510845148,user_location,Traverse County,im vegetarian and primarily vegan but im gna fuckin kill and eat u https://t.co/DvGubjGQWG,False,-0.7178
13,1238799426782625793,Sat Mar 14 12:09:33 +0000 2020,587007613,user_location,Hennepin County,"i wish some of y'all would understand that these closures &amp; cancellations aren't because they think everyone is going to drop dead of covid-19, it's bc it's really important to slow down the spread of the virus bc hospitals will not be able to handle everyone getting sick at once",False,-0.7102
14,1238962551741919244,Sat Mar 14 22:57:45 +0000 2020,4140438072,user_location,Hennepin County,Seema Verma is the reason states aren’t allowed to use Medicaid to address COVID-19. She spent over $2 million of our tax dollars on image consultants to lie and suck up to Trump on Fox News. https://t.co/wOAhKfst0b,False,-0.4404
15,1238961301231218691,Sat Mar 14 22:52:47 +0000 2020,860949512193527808,user_location,Hennepin County,"PC Gamers, let’s put those GPUs to work.   Join us and our friends at @OfficialPCMR in supporting folding@home and donating unused GPU computing power to fight against COVID-19!   Learn more → https://t.co/EQE4u7xTZT https://t.co/uO0ZCq8PEv",False,0.7088
16,1238966410354790402,Sat Mar 14 23:13:05 +0000 2020,717555690823294976,user_location,Hennepin County,A whole neighborhood in Italy is singing “Roar” by Katy Perry while they’re on lockdown and self-quarantined. #COVIDー19 https://t.co/QCehrWHWg5,False,0.0
17,1238848667664166913,Sat Mar 14 15:25:13 +0000 2020,1213198704565374976,place,Ramsey County,"I mean, god, the president even told them it was okay. https://t.co/x5mPCrRbxi",False,0.4588
18,1238848730553597952,Sat Mar 14 15:25:28 +0000 2020,2217791384,user_location,Hennepin County,Community resources including health information and local food bank can be found on our NHSSD COVID-19 site. @chucklentzsuper https://t.co/Jtjd2zwTrQ,False,0.0
19,1238851318141333505,Sat Mar 14 15:35:45 +0000 2020,182083658,user_location,Saint Louis County,"The POTUS, his administration, the GOP and his enablers are responsible for every single #COVIDー19 death in America. Full stop. #WhereAreTheTestKits  #ResignNowtrump  #Resist #VoteBlueToEndThisNightmare  #FlattenTheCurve https://t.co/Vd3rjhLZQq",False,-0.5859
20,1238637012179091457,Sat Mar 14 01:24:11 +0000 2020,426132371,user_location,Aitkin County,"https://t.co/ffAqknfS9r now look at this, buoys fired off in Southern hemisphere as in event mode. Dang #QAnon #POTUS #MAGA #TrustThePlan #WWG1WGA #coronavirus #LeapYear #coronapocalypse",False,-0.5574
21,1238641282681049092,Sat Mar 14 01:41:09 +0000 2020,112456299,user_location,Dakota County,"While the privileged crow about ‘democracy’, the GOP ratchets up the fascism with remote/communal ‘quarantine trailers’ w/o plumbing/electricity &amp; no med staff &amp; are surrounded by guards &amp; barbed wire https://t.co/sPJvwJEkWU #CoronaCamps 💀   #BernieOrBust #M4A #COVID19 #NotMeUs https://t.co/ZJE8gBNEJs",False,0.4404
22,1238632171004403714,Sat Mar 14 01:04:56 +0000 2020,275219328,user_location,Hennepin County,"#Coronavirus: Delta is canceling flights to continental Europe, grounding 300 planes, and reducing flights overall by 40% — the largest cuts in the airline's history https://t.co/tk95nDxZfW via @businessinsider",False,-0.296
23,1238633744241692675,Sat Mar 14 01:11:11 +0000 2020,53384905,user_location,Dakota County,"Are you feeling overwhelmed by the #coronavirus news?  @drdrew suggests limited social media, TV &amp; more exercise &amp; meditation.   ""The powerlessness, the extreme behavior, the panic...makes you feel endangered all the time.""  Watch our discussion w @DrOz  https://t.co/tBEpFCFnEY https://t.co/nXvzjsIsAz",False,-0.0516
24,1238632988482703360,Sat Mar 14 01:08:11 +0000 2020,15497700,user_location,Dakota County,Trusting the best for the future of @afctravel @Centrav @flyforgood and all the airfare providers out there. We are here for our customers. #StayStrong   #CoronaVirus #Airfare #Airline https://t.co/zBLiVzwDdP,False,0.7845
25,1238632454715514880,Sat Mar 14 01:06:04 +0000 2020,98779241,user_location,Hennepin County,"Check out NALC's ""Safety &amp; Health"" page for the latest updates posted about the #Coronavirus! Link: https://t.co/s61QZ4KvRS",False,0.4753
27,1238631722079657984,Sat Mar 14 01:03:09 +0000 2020,1082832201132228609,user_location,Washington County,.@WHO has named the  #covid19 outbreak a “pandemic.”    Our host and WHO Goodwill Ambassador @jameschau dives into what this means.   Check out more of our stories ➡️ https://t.co/alfYh6Az8z   #coronavirus #knowthefacts #askWHO @DrTedros https://t.co/0LOmDLeZ4T,False,0.0
28,1238630954966626314,Sat Mar 14 01:00:06 +0000 2020,2424701372,user_location,Hennepin County,"@SWilliamBrown33 I can tell the next generation is screwed, with the way the world is, based on kids touching everything inside my recovery cart. #keepyourhandstoyourself #youdontknowwhereitsbeen #coronavirus #StateOfEmergency",False,-0.4939
29,1238646769237536768,Sat Mar 14 02:02:57 +0000 2020,1048698631925243904,user_location,Red Lake County,FYI... If you have an italian vpn. You can get Pornhub for free for a month. LOL https://t.co/e6QR0kuh23,False,0.8543
30,1238651596059312128,Sat Mar 14 02:22:08 +0000 2020,1234596455794593792,user_location,Hennepin County,Sicily has figured out this whole self-isolation thing.  #COVID19 #CoronavirusPandemic   https://t.co/93whPVtQcR,False,0.0
31,1238655605633671168,Sat Mar 14 02:38:04 +0000 2020,292442401,user_location,Hennepin County,Stop and Breathe ....#coronavirus #panicattack #itsgonnabeallright @kerryjaneellis1 —- Bri https://t.co/OBaL8P6Tao,False,-0.296
32,1238656020488032256,Sat Mar 14 02:39:43 +0000 2020,31233130,user_location,Hennepin County,@CNNPolitics @AngusCarruthers Isn’t using @Google to set up the #COVID19 site strange? Trump may as well have used the @NSAGov. They’re both secretive data mining companies. Why is a healthcare company not leading this? #Hmm #impotus #DeepState #TrumpPressConference,False,0.168
34,1238653496305405952,Sat Mar 14 02:29:41 +0000 2020,148924708,user_location,Swift County,"Chinese medical workers who have been fighting the #coronavirus day and night in Wuhan celebrated the closing of the last temporary hospital in Wuhan.  The reported #covid19 cases went from a surge in February of 15,000 in one day to only 15 this week. https://t.co/xWuPd23EfY",False,0.296
35,1238654722078380032,Sat Mar 14 02:34:33 +0000 2020,867365125,user_location,Hennepin County,Not enough praise has gone to medical professionals worldwide. From those in the labs to those bedside https://t.co/dN6bsfD2jo,False,-0.4449
36,1238642338857172994,Sat Mar 14 01:45:21 +0000 2020,740963228830830597,user_location,Hennepin County,Bob knows the real deal #CoronaVirus https://t.co/AN12kPrE9m,False,0.0
