,tweet_id,created_at,user_id,geo_source,county,full_text,mask,sentiment_score
0,1237411318430220288,Tue Mar 10 16:13:42 +0000 2020,1234881563910762496,user_location,Scott County,"@MikeHaire7 @BubbyVgk Not making much sense here, Mike.  So it's OK to pay tax for a wall and not a #vaccine?  Give you one guess as to which one would actually save lives.  #coronavirus #COVID19",False,0.7434
1,1237412008263286785,Tue Mar 10 16:16:27 +0000 2020,15913837,user_location,Hennepin County,1. Want to turn this into a short thread. https://t.co/DJwWzXSrxI,False,0.0772
2,1237409070547640320,Tue Mar 10 16:04:47 +0000 2020,726803057435004928,user_location,Anoka County,crap this virus is turning all the people into pigeons   #coronavirus https://t.co/UopvX9BqZD,False,-0.3818
3,1237409132883382272,Tue Mar 10 16:05:01 +0000 2020,2783339700,user_location,Koochiching County,Total number of cases now up to 15 in Colorado https://t.co/rQHotU4m4j,False,0.1513
5,1237412392667090944,Tue Mar 10 16:17:59 +0000 2020,547843796,user_location,Hennepin County,"You could make nearly $4,600 by volunteering to be infected with #Coronavirus: https://t.co/rVwPyHSV0k https://t.co/LxBtQY9Tn1",False,-0.4939
6,1237427664903946241,Tue Mar 10 17:18:40 +0000 2020,49007442,user_location,Dakota County,3 Ways to Reduce Your Novel #Coronavirus Risk as an Older Adult (Plus 2 Ideas You May Have Missed) https://t.co/2idn8BTPtr (via @sixtyandme) #wellness https://t.co/jLmqI2lTr6,False,0.2263
7,1237428488216305666,Tue Mar 10 17:21:56 +0000 2020,1171621,user_location,Hennepin County,"Extraordinary thread from the perspective of Italian doctors:  ""There are no more shifts, no more hours. Social life is suspended for us. We no longer see our families for fear of infecting them. Some of us have already become infected."" #coronavirus #covid19 https://t.co/Y3yKA65W5L",False,-0.8591
8,1237219228647858177,Tue Mar 10 03:30:25 +0000 2020,359985958,user_location,Koochiching County,"Asked Pelosi if she thinks Trump should be tested after his interactions with Doug Collins and Matt Gaetz.  Pelosi: “Tested for what?” me: coronavirus Pelosi: “Oh, I thought he should be tested for a long time now.” And she walked off",False,0.0
9,1237415321390256135,Tue Mar 10 16:29:37 +0000 2020,4047583572,user_location,Hennepin County,"⚠️#COVID19 cases increase exponentially.  #China 1/23: 444 cases 1/30: 4,903 2/6: 22,112  #Italy 2/22: 62 2/29: 888 3/6: 4,636  Trump bungled #coronavirus testing, so the reported 729 US cases are just a fraction of the real cases.  Expect a MASSIVE surge. https://t.co/s4xp5Ma5Nq",False,0.3182
11,1237424973171605509,Tue Mar 10 17:07:58 +0000 2020,1615717668,user_location,Hennepin County,"The #mnleg unanimously supported this funding because we are planning, not panicking. Minnesota’s public health officials are working around the clock to prepare for and slow the spread of #COVIDー19. What @mnhealth is doing: https://t.co/HmNPpp3HaC #COVID #COVID19 https://t.co/6gzekFpkGN",False,-0.1531
12,1237433546677125120,Tue Mar 10 17:42:02 +0000 2020,386054116,user_location,Hennepin County,"This #FlattenTheCurve graph surged to prominence this week. But it didn't say why it is so bad when medical treatment capacity is overwhelmed -&gt; mortality rate rises. So, here is a small animation that shows the value of early containment and double dividend of delay. #Covid19 https://t.co/YlMPZOpydp",False,-0.6486
13,1237440880988098562,Tue Mar 10 18:11:11 +0000 2020,67673333,user_location,Hennepin County,POS Supply Chain Worries? APG Has You Covered. https://t.co/59uPnTpUEH #SupplyChain #COVID19 #PointofSale #Coronavirus https://t.co/zoLMBLAPbu,False,-0.4215
14,1237221748652806147,Tue Mar 10 03:40:26 +0000 2020,862048152182038529,user_location,Hennepin County,"We pay:   -Hundreds of $ for like 4 inches of leg room for hours long flights  -$8 in flight WiFi -$30/bag -$150 “rebooking” fee  And somehow, when airlines don’t turn a profit for a couple weeks we’re expected to just swoop in and “save” them? https://t.co/Pw2WPmAA1F",False,0.6124
15,1237442217918128129,Tue Mar 10 18:16:29 +0000 2020,541279177,user_location,Saint Louis County,When the WHO executive director coughs into his hand and not his arm... #koronawirus #Corona https://t.co/1znnr7imbW,False,0.4939
16,1237426908251463680,Tue Mar 10 17:15:39 +0000 2020,1070550495931060224,user_location,Hennepin County,"Dear @Bluecrossmn, I’m a member. Please waive cost sharing for office visits associated with the #Covid19 test. It’s a matter of public health, and as a Minnesota-chartered nonprofit, part of your public obligation. https://t.co/CRn63jxyWd",False,0.7783
17,1237219643040976897,Tue Mar 10 03:32:03 +0000 2020,1232019166728769536,user_location,Dakota County,RT this if you've ever went to work sick to pay your bills. https://t.co/7XkKb69slv,False,-0.5719
18,1237425759414870016,Tue Mar 10 17:11:05 +0000 2020,1016336613402660865,user_location,Dakota County,"For those liberals who blew their butt plugs over people calling the Corona virus that originated in Wuhan the (wait for it...) #WuhanCoronavirus, here’s a history refresher... #Numbskulls https://t.co/BHD4ZDnuTI",False,-0.4939
19,1237425794999353344,Tue Mar 10 17:11:14 +0000 2020,40058757,user_location,Ramsey County,"Please, please guys. Here in northern #Italy we made one big mistake. Everybody kept saying ""It's just flu"" and now our intensive care units are collapsing. Everybody kept going outside like nothing happened and now our grandparents and parents are dying. #coronavirus is not #flu",False,0.128
20,1237425855607046147,Tue Mar 10 17:11:28 +0000 2020,3300143545,user_location,Hennepin County,"@realDonaldTrump @SenateGOP Donny, can you feel the #coronavirus taking over your immune system? We know you’ve been tested. We know you are infected. Couldn’t happen to a nicer guy.",False,0.2263
21,1237432088925745153,Tue Mar 10 17:36:15 +0000 2020,9229732,user_location,Hennepin County,Osceola students tell me Superintendent walked into High School last PM. Announced the positive #coronavirus test &amp; immediately cleared out the building. Ending winter sports banquet &amp; sending home drama club. Told district will announce in next few hrs whether to reopen tomorrow,False,0.6124
23,1237216564497321984,Tue Mar 10 03:19:50 +0000 2020,53105686,user_location,Ramsey County,“Mass gatherings” cancelled in parts of Silicon Valley over coronavirus fears. https://t.co/VkIenLkvU1,False,-0.5859
24,1237422726710734851,Tue Mar 10 16:59:02 +0000 2020,556345539,user_location,Carver County,Is there another way to track #coronavirus spread in the USA since testing is so limited? A proxy like ER traffic?,False,0.2406
25,1237414540855443456,Tue Mar 10 16:26:31 +0000 2020,1682455963,user_location,Hennepin County,italy - entire country in lockdown france - time for a smurf festival https://t.co/32UpOnbp8a,False,0.4939
27,1237222491522764800,Tue Mar 10 03:43:23 +0000 2020,2453952188,user_location,Hennepin County,"I’m embarrassed to be his colleague. I’m so disgusted. We await his apology to the nation, the Chinese-American and #AAPI community and to his own constituents. https://t.co/eKYbffqOww",False,-0.6486
28,1237438267202646016,Tue Mar 10 18:00:48 +0000 2020,885624416415223808,user_location,Crow Wing County,Drum corps tuition😳 https://t.co/Lt8yqLvQdj,False,0.0
29,1237432221172195334,Tue Mar 10 17:36:46 +0000 2020,407886769,user_location,Saint Louis County,2 patients HAS died?   But I get to write IELTS. Unu nakwa echecki. https://t.co/bw0sfVN7Yv,False,-0.3182
31,1237280478958321664,Tue Mar 10 07:33:48 +0000 2020,40547229,user_location,Saint Louis County,"Remarkable moment: In last football match before Italian football shuts down for month due to Coronavirus, in game played in empty stadium, goal scorer holds up sign to TV cameras ""It will all be fine, Stay safe at home"" 🙌 🇮🇹  https://t.co/Mcf9KkehKm",False,0.836
32,1237280570838638592,Tue Mar 10 07:34:10 +0000 2020,38989785,user_location,Hennepin County,I can’t believe people are still kissing on the #TheBachelor in the times of coronavirus... please lovingly bump elbows,False,0.8807
33,1237250333090422785,Tue Mar 10 05:34:01 +0000 2020,198040549,user_location,Hennepin County,coronavirus really said happy international women’s day https://t.co/zncGnCK1tD,False,0.6096
34,1237510926070419458,Tue Mar 10 22:49:31 +0000 2020,41734171,user_location,Hennepin County,New case of coronavirus recorded in Sulaimani: ministry  https://t.co/rxcppp39e3 #TwitterKurds #Sulaimani #Iraq #coronavirus https://t.co/aRstI02zKW,False,0.0
35,1237527417339572225,Tue Mar 10 23:55:03 +0000 2020,17627629,user_location,Hennepin County,There are simple steps all New Yorkers can take to help prevent the spread of #Coronavirus and other viruses:  -Wash your hands frequently (for at least 20 seconds) -Avoid handshaking -Cover your cough or sneeze with a tissue (or your sleeve) -Stay at home if you feel sick https://t.co/Gq0ogVwOBs,False,-0.4019
